2016-11-22 11:01:24,033 [Thread-130:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) DELETE FROM `blog_article_tag` WHERE `blog_article_tag`.`article_id` = 9; args=(9,)
2016-11-22 11:01:24,037 [Thread-130:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_article_tag`.`tag_id` FROM `blog_article_tag` WHERE (`blog_article_tag`.`article_id` = 9 AND `blog_article_tag`.`tag_id` IN (3)); args=(9, 3)
2016-11-22 11:01:24,039 [Thread-130:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `blog_article_tag` (`article_id`, `tag_id`) VALUES (9, 3); args=(9, 3)
2016-11-22 11:01:24,041 [Thread-130:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_admin_log` (`action_time`, `user_id`, `content_type_id`, `object_id`, `object_repr`, `action_flag`, `change_message`) VALUES ('2016-11-22 03:01:24.040408', 3, 9, '9', '06 数据管理', 1, ''); args=[u'2016-11-22 03:01:24.040408', 3, 9, u'9', u'06 \u6570\u636e\u7ba1\u7406', 1, u'']
2016-11-22 11:01:24,350 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-22 11:01:24,353 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-22 11:01:24,355 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = '6jmqpx2itn02frljw2tcfkjswa00u3in' AND `django_session`.`expire_date` > '2016-11-22 03:01:24.346869'); args=('6jmqpx2itn02frljw2tcfkjswa00u3in', u'2016-11-22 03:01:24.346869')
2016-11-22 11:01:24,359 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_user`.`id`, `blog_user`.`password`, `blog_user`.`last_login`, `blog_user`.`is_superuser`, `blog_user`.`username`, `blog_user`.`first_name`, `blog_user`.`last_name`, `blog_user`.`email`, `blog_user`.`is_staff`, `blog_user`.`is_active`, `blog_user`.`date_joined`, `blog_user`.`avatar`, `blog_user`.`qq`, `blog_user`.`mobile`, `blog_user`.`url` FROM `blog_user` WHERE `blog_user`.`id` = 3; args=(3,)
2016-11-22 11:01:24,362 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `blog_article`; args=('*',)
2016-11-22 11:01:24,370 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC, `blog_article`.`id` DESC; args=()
2016-11-22 11:01:24,396 [Thread-131:139643278325504] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
